ATC_Code,ATC_Name,ATC_L4_Code,ATC_L4_Name,ATC_L3_Code,ATC_L3_Name,ATC_L2_Code,ATC_L2_Name,ATC_L1_Code,ATC_L1_Name
A01AA01,sodium fluoride,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA02,sodium monofluorophosphate,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA03,olaflur,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA04,stannous fluoride,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA30,combinations,A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AA51,"sodium fluoride, combinations",A01AA,Caries prophylactic agents,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB02,hydrogen peroxide,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB03,chlorhexidine,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB04,amphotericin B,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB05,polynoxylin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB06,domiphen,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB07,oxyquinoline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB08,neomycin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB09,miconazole,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB10,natamycin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB11,various,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB12,hexetidine,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB13,tetracycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB14,benzoxonium chloride,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB15,tibezonium iodide,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB16,mepartricin,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB17,metronidazole,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB18,clotrimazole,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB19,sodium perborate,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB21,chlortetracycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB22,doxycycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB23,minocycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB24,octenidine,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB25,oxytetracycline,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AB53,chlorhexidine and cetylpyridinium,A01AB,Antiinfectives and antiseptics for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC01,triamcinolone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC02,dexamethasone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC03,hydrocortisone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC04,prednisolone,A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AC54,"prednisolone, combinations",A01AC,Corticosteroids for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD01,epinephrine,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD02,benzydamine,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD05,acetylsalicylic acid,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD06,adrenalone,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD07,amlexanox,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD08,becaplermin,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A01AD11,various,A01AD,Other agents for local oral treatment,A01A,STOMATOLOGICAL PREPARATIONS,A01,STOMATOLOGICAL PREPARATIONS,A,ALIMENTARY TRACT AND METABOLISM
A02AA01,magnesium carbonate,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA02,magnesium oxide,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA03,magnesium peroxide,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA04,magnesium hydroxide,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA05,magnesium silicate,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AA10,combinations,A02AA,Magnesium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB01,aluminium hydroxide,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB02,algeldrate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB03,aluminium phosphate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB04,dihydroxialumini sodium carbonate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
A02AB05,aluminium acetoacetate,A02AB,Aluminium compounds,A02A,ANTACIDS,A02,DRUGS FOR ACID RELATED DISORDERS,A,ALIMENTARY TRACT AND METABOLISM
