prompt_id,diabetes_type,diabetes_label,icd_code,icd_description,complication,complication_phrase,surface_form_index,target_atc_code,target_atc_name,target_atc_l2,template_variant,split,prompt
p0001,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,1,test,A patient diagnosed with Type 1 diabetes mellitus (ICD-10: E10.9) presents with no documented complications. The recommended ATC drug is
p0002,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,2,test,"Clinical note: Type 1 diabetes mellitus using ICD-10 code E10.9, with no documented complications. A plausible ATC medication class is"
p0003,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,3,train,"For a patient with Type 1 diabetes mellitus (E10.9) and no documented complications, the ATC drug category most relevant to diabetes treatment is"
p0004,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E10.9 means Type 1 diabetes mellitus without complications. The patient has no documented complications. The recommended ATC drug is
p0005,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,5,train,Discharge summary: a Type 1 diabetes mellitus patient (code E10.9) was admitted with no documented complications. First-line ATC drug:
p0006,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,6,train,"Endocrinology consultation: the patient carries the diagnosis Type 1 diabetes mellitus, ICD E10.9, complicated by no documented complications. The ATC class typically prescribed is"
p0007,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,7,test,EHR snippet — DX: E10.9 Type 1 diabetes mellitus; complications: no documented complications. Recommended ATC class:
p0008,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,8,train,Pharmacy review for Type 1 diabetes mellitus (E10.9) with no documented complications: the most appropriate ATC group is
p0009,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,9,train,Case vignette: a middle-aged patient with Type 1 diabetes mellitus (ICD-10 E10.9) and no documented complications requires therapy. The ATC drug class is
p0010,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,10,train,Outpatient note. Problem list: Type 1 diabetes mellitus (E10.9); no documented complications. Drug therapy (ATC) selected:
p0011,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,11,train,"Type 1 diabetes mellitus (code E10.9), complicated by no documented complications. The standard ATC pharmacologic group is"
p0012,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no documented complications,1,A10AB01,insulin (human),DRUGS USED IN DIABETES,12,test,Coding audit — patient labelled E10.9 (Type 1 diabetes mellitus); current state: no documented complications. The ATC drug recommended is
p0013,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,1,train,A patient diagnosed with Type 1 diabetes mellitus (ICD-10: E10.9) presents with no diabetes-related complications. The recommended ATC drug is
p0014,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,2,train,"Clinical note: Type 1 diabetes mellitus using ICD-10 code E10.9, with no diabetes-related complications. A plausible ATC medication class is"
p0015,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,3,test,"For a patient with Type 1 diabetes mellitus (E10.9) and no diabetes-related complications, the ATC drug category most relevant to diabetes treatment is"
p0016,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,4,train,Medical coding context: diagnosis E10.9 means Type 1 diabetes mellitus without complications. The patient has no diabetes-related complications. The recommended ATC drug is
p0017,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,5,test,Discharge summary: a Type 1 diabetes mellitus patient (code E10.9) was admitted with no diabetes-related complications. First-line ATC drug:
p0018,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,6,test,"Endocrinology consultation: the patient carries the diagnosis Type 1 diabetes mellitus, ICD E10.9, complicated by no diabetes-related complications. The ATC class typically prescribed is"
p0019,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,7,test,EHR snippet — DX: E10.9 Type 1 diabetes mellitus; complications: no diabetes-related complications. Recommended ATC class:
p0020,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,8,train,Pharmacy review for Type 1 diabetes mellitus (E10.9) with no diabetes-related complications: the most appropriate ATC group is
p0021,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,9,test,Case vignette: a middle-aged patient with Type 1 diabetes mellitus (ICD-10 E10.9) and no diabetes-related complications requires therapy. The ATC drug class is
p0022,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,10,test,Outpatient note. Problem list: Type 1 diabetes mellitus (E10.9); no diabetes-related complications. Drug therapy (ATC) selected:
p0023,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,11,test,"Type 1 diabetes mellitus (code E10.9), complicated by no diabetes-related complications. The standard ATC pharmacologic group is"
p0024,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,no diabetes-related complications,2,A10AB01,insulin (human),DRUGS USED IN DIABETES,12,train,Coding audit — patient labelled E10.9 (Type 1 diabetes mellitus); current state: no diabetes-related complications. The ATC drug recommended is
p0025,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,1,train,A patient diagnosed with Type 1 diabetes mellitus (ICD-10: E10.9) presents with an otherwise uncomplicated course. The recommended ATC drug is
p0026,type1,Type 1 diabetes mellitus,E10.9,Type 1 diabetes mellitus without complications,none,an otherwise uncomplicated course,3,A10AB01,insulin (human),DRUGS USED IN DIABETES,2,train,"Clinical note: Type 1 diabetes mellitus using ICD-10 code E10.9, with an otherwise uncomplicated course. A plausible ATC medication class is"
